"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
545;"eulogy";"yoo-luh-gee";"a commendatory oration or writing especially in honor of one deceased; high praise";"n"
546;"euphony";"yoo-fuh-nee";"pleasing or sweet sound; a harmonious succession of words having a pleasing sound";"n"
547;"evanescent";"ev-uh-ness-int";"tending to vanish like vapor";"adj"
548;"eventuate";"ih-ven-chu-ate";"to come out finally, result, come about";"v"
549;"excelsior";"ek-sell-see-ur";"latin for ""ever upward"" or ""still higher""; meaning superior quality or excellence";"n"
550;"exculpate";"ex-kul-pate";"to clear from alleged fault or guilt";"v"
551;"excoriate";"ex-kor-e-ate";"to wear off the skin of, abrade; to censure scathingly";"v"
552;"excrescence";"iks-kreh-sints";"an abnormal projection or outgrowth; a disfiguring, extraneous, or unwanted mark or part, blot";"n"
553;"execrate";"ex-ih-krate";"to declare to be evil or detestable, denounce; to detest utterly";"v"
554;"exhort";"ig-zort";"to incite by argument or advice; urge strongly; to give warnings or advice; make urgent appeals";"v"
555;"exeunt";"ek-see-unt";"used as a stage direction to specify that all or certain named characters leave the stage";"v"
556;"exonerate";"ig-zon-er-ate";"to relieve of a responsibility, obligation, or hardship; to clear from accusation or blame";"v"
557;"exhume";"ig-zoom";"to bring back from neglect or obscurity, disinter";"v"
558;"exegesis";"ek-suh-jee-sis";"exposition, explanation; esp. an explanation or critical interpretation of a text";"n"
559;"exigent";"ek-suh-jent";"requiring immediate aid or action; requiring or calling for much, demanding";"adj"
560;"paraprofessional";"pair-uh-professional";"a trained aide who assists a professional person";"n"
561;"parenthetical";"pair-en-theh-tih-kul";"relating to or inserted as a parenthesis";"adj"
562;"parcel";"par-sil";"to divide into parts, distribute";"v"
563;"pare";"pair";"to trim off an outside, excess, or irregular part of";"v"
564;"pareidolia";"pair-eye-doe-lee-uh";"the tendency to perceive a specific, often meaningful image in a random or ambiguous visual pattern";"n"
565;"parfleche";"par-flesh";"a raw hide soaked in lye(a strong alkaline liquor used in soap and washing) to remove the hair and dried; an article (such as a bag or case) made of such material";"n"
566;"pariah";"puh-rye-uh";"one that is despised or rejected, outcast";"n"
567;"parish";"pair-ish";"the ecclesiastical unit of area committed to one pastor; the residents of such an area; a local church community composed of the members or constituents of a church";"n"
568;"parlance";"par-lints";"formal debate or parley, speech; manner or mode of speech";"n"
569;"parlay";"par-lay";"a series of two or more bets so set up in advance that the original stake plus its winnings are risked on the successive wagers";"n"
570;"parley";"par-lee";"to speak with another, confer; to discuss terms with an enemy";"v"
571;"parochial";"puh-row-kee-ul";"of or relating to a church parish; confined or restricted as if within the borders of a parish; limited in range or scope (as to a narrow area or region), provincial, narrow";"adj"
572;"parlous";"par-lus";"full of danger or risk";"adj"
573;"parson";"par-sun";"the clergy member in charge of a parish; a member of a clergy";"n"
574;"paste";"paste";"to strike hard at; to beat or defeat soundly";"v"
575;"pathos";"pay-thaas";"an artistic element evoking pity or compassion; an emotion of sympathetic pity";"n"
576;"patois";"pah-twa";"a dialect other than the standard or literary dialect; the characteristic special language of an occupational or social group";"n"
577;"patina";"puh-tee-nuh";"a usually green film that forms on copper/bronze after long exposure; a surface appearance of something grown beautiful especially with age or use; an appearance or aura that is derived from association, habit, or established character; a superficial covering or exterior";"n"
578;"patronize";"pay-truh-nize";"to adopt an air of condescension toward; treat haughtily or coolly";"v"
579;"patronymic";"pah-truh-nim-ik";"a name derived from that of the father or a paternal ancestor usually by the addition of an affix";"n"
580;"paucity";"paw-sih-tee";"smallness of number, fewness; smallness of quantity, dearth";"n"
581;"paunch";"ponch";"the belly and its contents";"n"
582;"peal";"peel";"the loud ringing of bells; a loud sound or succession of sounds";"n"
583;"pedantic";"pih-dan-tik";"emphasizing minutiae in the presentation or use of knowledge; narrowly, stodgily, and often ostentatiously learned; unimaginative, dull";"adj"
584;"pediculous";"pih-dik-yoo-lis";"infested with lice, lousy";"adj"
585;"peen";"peen";"a usually hemispherical or wedge-shaped end of the head of a hammer that is opposite the face and is used especially for bending, shaping, or cutting the material struck";"n"
586;"peevish";"pee-vish";"querulous in temperament or mood, fretful; perversely obstinate; marked by ill temper";"adj"
587;"pelf";"pelf";"money, riches";"n"
588;"pemmican";"peh-mih-kin";"a concentrated food used by North American Indians and consisting of lean meat dried, pounded fine, and mixed with melted fat";"n"
589;"penchant";"pen-chint";"a strong and continued inclination; liking";"n"
590;"pendulous";"pen-juh-lus";"marked by vacillation, indecision, or uncertainty; suspended so as to swing freely; inclined or hanging downward";"adj"
591;"penitent";"pen-ih-tint";"feeling or expressing humble or regretful pain or sorrow for sins or offenses";"adj"
592;"peradventure";"pur-ed-ven-chur";"doubt; chance";"n"
593;"percolate";"pur-kuh-late";"to be diffused through, penetrate; to spread gradually; to ooze or trickle through a permeable substance; to cause a solvent to pass through a permeable substance especially for extracting a soluble constituent (e.g. coffee)";"v"
594;"perdition";"pur-dih-shin";"eternal damnation; hell";"n"
595;"peregrinate";"pair-ih-grih-nate";"to travel especially on foot";"v"
596;"perforce";"per-force";"by force of circumstances or of necessity";"adv"
597;"perennial";"puh-ren-e-ul";"present at all seasons of the year; persistent, enduring; continuing without interruption; regularly repeated or renewed";"adj"
598;"perfunctory";"pur-funk-tuh-ree";"characterized by routine and superficiality; mechanical; lacking in interest or enthusiasm";"adj"
599;"perihelion";"pair-ih-heel-yun";"the point nearest to the sun in the path of an orbiting celestial body";"n"
600;"peripeteia";"pear-uh-puh-tee-uh";"a sudden or unexpected reversal of circumstances or situation especially in a literary work";"n"
601;"pernicious";"pur-nih-shus";"highly injurious or destructive, deadly; wicked";"adj"
602;"periphrasis";"puh-riff-ruh-sis";"use of a longer phrasing in place of a possible shorter form of expression";"n"
603;"perorate";"pair-or-ate";"to deliver a long or grandiloquent oration";"v"
604;"peroration";"pair-uh-ray-shin";"the concluding part of a discourse and especially an oration; a highly rhetorical speech";"n"
605;"perpend";"per-PEND";"to reflect on carefully, ponder; to be attentive, reflect";"v"
606;"perpetual";"pur-peh-chu-wul";"continuing forever, everlasting; occurring continually, indefinitely long-continued";"adj"
607;"perquisite";"per-kwih-zit";"a privilege, gain, or profit incidental to regular salary or wages; gratuity, tip; something held or claimed as an exclusive right or possession";"n"
608;"persiflage";"pur-sih-flazh";"frivolous bantering talk, light raillery";"n"
609;"perspicacious";"per-spik-ay-shus";"of acute mental vision or discernment, keen";"adj"
610;"perspicuous";"pur-spik-yoo-is";"plain to the understanding especially because of clarity and precision of presentation";"adj"
611;"pertinacious";"pur-tih-nay-shus";"adhering resolutely to an opinion, purpose, or design; perversely persistent; stubbornly tenacious";"adj"
612;"pervade";"pur-vade";"to become diffused throughout every part of";"v"
613;"petard";"puh-tard";"a case containing an explosive to break down a door or gate or breach a wall; a firework that explodes with a loud report";"n"
614;"petrology";"puh-trah-lih-jee";"a science that deals with the origin, history, occurrence, structure, chemical composition, and classification of rocks";"n"
615;"pettifogger";"peh-tee-faw-gur";"a lawyer whose methods are petty, underhanded, or disreputable; one given to quibbling over trifles";"n"
616;"petulant";"pech-uh-lint";"insolent or rude in speech or behavior; characterized by temporary or capricious ill humor, peevish";"adj"
617;"philately";"fuh-lat-uh-lee";"the collection and study of postage and imprinted stamps";"n"
618;"philistine";"fill-ih-steen";"a person who is guided by materialism and is usually disdainful of intellectual or artistic values; one uninformed in a special area of knowledge";"n"
619;"phoneme";"fo-neem";"one of the smallest units of speech that distinguish one utterance from another";"n"
620;"phototropic";"fo-tuh-trow-pik";"a tropism in which light is the orienting stimulus; growing based off the light (towards or away)";"adj"
621;"expedient";"ik-spee-dee-int";"suitable for achieving a particular end in a given circumstance; characterized by concern with what is opportune";"adj"
622;"expedient";"ik-spee-dee-int";"something done or used to achieve a particular end usually quickly or temporarily, an expedient action or solution";"n"
623;"posit";"pah-zit";"to assume or affirm the existence of; to propose as an explanation; to dispose or set firmly";"v"
624;"postulate";"pahs-chuh-late";"demand, claim; to assume or claim as true, existent, or necessary";"v"
625;"prate";"prate";"to talk long and idly, chatter";"v"
626;"pother";"pah-ther";"a confused or fidgety flurry of activity, commotion; agitated talk or controversy usually over a trivial matter; a choking cloud of dust or smoke; mental turmoil";"n"
627;"precept";"pre-sept";"a command or principle intended especially as a general rule of action; an order issued by legally constituted authority to a subordinate official";"n"
628;"précis";"pray-see";"a concise summary of essential points, statements, or facts";"n"
629;"expedite";"ek-spih-dite";"to accelerate the process or progress of, speed up; to execute promptly; issue, dispatch";"v"
630;"preclude";"prih-klood";"to make impossible by necessary consequence; rule out in advance";"v"
631;"predicate";"preh-dih-kit";"affirm, declare; imply; based, founded; to assert to be a quality, attribute, or property";"v"
632;"expiate";"ek-spee-ate";"to extinguish the guilt incurred by; to make amends for";"v"
633;"precocious";"prih-ko-shis";"exceptionally early in development or occurrence; exhibiting mature qualities at an unusually early age";"adj"
634;"predilection";"pred-uh-lek-shun";"an established preference for something";"n"
635;"prehensile";"pre-hence-ul";"adapted for seizing or grasping especially by wrapping around; gifted with mental grasp or moral or aesthetic perception";"adj"
636;"preen";"preen";"to dress or smooth oneself up, primp; to pride or congratulate oneself on an achievement";"v"
637;"prehension";"pre-hen-shin";"the act of taking hold, seizing, or grasping (physically); mental understanding; comprehension; apprehension by the senses";"n"
638;"exposition";"ek-spih-zish-un";"a setting forth of the meaning or purpose; discourse or an example of it designed to convey information or explain what is difficult to understand";"n"
639;"prepend";"pre-pend";"to add something to the beginning of something else; consider, premeditate";"v"
640;"prerogative";"prih-rog-uh-tive";"an exclusive or special right, power, or privilege; a distinctive excellence";"n"
641;"prestigious";"preh-stij-is";"having an illustrious name or reputation; esteemed in general opinion";"adj"
642;"prescind";"prih-sinned";"to withdraw one's attention; to detach for purposes of thought";"v"
643;"expostulate";"ik-spahs-chu-late";"discuss, examine; to reason earnestly with a person for purpose of dissuasion or remonstrance";"v"
644;"pretense";"pre-tense";"a claim made or implied esp. one not supported by fact; professed rather than real intention or purpose; false show, simulation; an inadequate or insincere attempt to attain a certain condition or quality";"n"
645;"pretentious";"prih-ten-shis";"making usually unjustified or excessive claims; expressive of affected, unwarranted, or exaggerated importance, worth, or stature; making demands on one's skill, ability, or means, ambitious";"adj"
646;"preternatural";"pre-tur-nah-chur-ul";"existing outside of nature; exceeding what is natural or regular, extraordinary; inexplicable by ordinary means esp. psychic";"adj"
647;"prevaricate";"pruh-vair-ih-kate";"to deviate from the truth, equivocate";"v"
648;"priggish";"prih-gish";"self-righteously moralistic and superior; offending or irritating by observance of proprieties (as of speech or manners) in a pointed manner or to an obnoxious degree";"adj"
649;"prim";"prim";"stiffly formal and proper, decorous; prudish; neat, trim";"adj"
650;"primordial";"pry-mor-dee-ul";"first created or developed; existing in or persisting from the beginning; fundamental, primary";"adj"
651;"primeval";"prime-evil";"of or relating to the earliest ages, ancient, primitive";"adj"
652;"primp";"primp";"to dress, adorn, or arrange in a careful or finicky manner; to dress or groom oneself carefully";"v"
653;"pro rata";"pro-rah-tuh";"proportionately according to an exactly calculable factor";"adv"
654;"probity";"pro-bih-tee";"adherence to the highest principles and ideals, uprightness";"n"
655;"prodigious";"prih-dij-is";"causing amazement or wonder; extraordinary in bulk, quantity, or degree; enormous";"adj"
656;"expound";"ik-spound";"to set forth, state; to defend with an argument; to explain by setting forth in careful and often elaborate detail";"v"
657;"promulgate";"prah-mul-gate";"to make known to many people by open declaration, proclaim; to make known or public the terms of a proposed law";"v"
658;"propagate";"prop-uh-gate";"to reproduce or cause to reproduce biologically; multiply; to cause to spread out and affect a greater number or greater area, extend; to pass along to offpsring";"v"
659;"propensity";"pruh-pen-sih-tee";"an often intense natural inclination or preference";"n"
660;"propitiate";"pro-pish-ee-ate";"to gain or regain the favor or goodwill of, appease";"v"
661;"propriety";"pruh-pry-ih-tee";"behavior that is accepted as socially or morally correct and proper; the state or quality of being correct and proper";"n"
662;"proselytize";"prah-suh-lih-tize";"to induce someone to convert to one's faith; to recruit someone to join one's party, institution, or cause; to recruit or convert especially to a new faith, institution, or cause";"v"
663;"prosaic";"pro-zay-ik";"everyday, ordinary; dull, unimaginative";"adj"
664;"prosy";"pro-zee";"lacking in qualities that seize the attention or strike the imagination, commonplace; tediously dull in speech or manner";"adj"
665;"proto-";"pro-to";"first in time; parent substance; first formed, primary";"pfx"
666;"protuberant";"pro-too-bur-int";"thrusting out from a surrounding or adjacent surface often as a rounded mass, prominent";"adj"
667;"provident";"prah-vih-dint";"making provision for the future, prudent; frugal, saving";"adj"
668;"provenance";"prah-vih-nints";"origin, source; the history of ownership of a valued object or work of art or literature";"n"
669;"prude";"prood";"a person who is excessively or priggishly attentive to propriety or decorum; extreme modesty";"n"
670;"psychagogic";"psych-uh-goj-ik";"attractive, persuasive, inspiring;";"adj"
671;"psychagogy";"psych-uh-goj-ee";"a psychotherapeutic method of influencing behavior by suggesting desirable life goals";"n"
672;"pugnacious";"pug-nay-shis";"having a quarrelsome or combative nature";"adj"
673;"puissant";"pwiss-unt";"of great force or vigor, strong, powerful";"adj"
674;"puncheon";"punch-un";"a pointed tool for piercing or for working on stone; a short upright framing timber; a large cask of varying capacity";"n"
675;"punctilious";"punk-til-ee-is";"marked by or concerned about precise accordance with the details of codes or conventions";"adj"
676;"pungent";"pun-jint";"sharply painful; having an intense flavor or odor; causing a sharp or irritating sensation; marked by a sharp incisive quality";"adj"
677;"pyrolysis";"pie-rahl-ih-sis";"chemical change brought about by the action of heat";"n"
678;"pyrotechnics";"pie-ruh-tek-niks";"the art of making or the manufacture and use of fireworks; a display of fireworks";"n"
679;"pyschotropic";"pysch-uh-trope-ik";"acting on the mind";"adj"
680;"quack";"quack";"charlatan; an ignorant, misinformed, or dishonest practitioner of medicine";"n"
681;"quagmire";"kwag-mire";"soft miry land that shakes or yields under the foot; a difficult, precarious, or entrapping position, predicament";"n"
682;"quaint";"kwaint";"pleasingly or strikingly old-fashioned or unfamiliar; unusual or different in character or appearance, odd; marked by skillful design, beauty, or elegance";"adj"
683;"quail";"kwale";"to give way, falter; to recoil in dread or terror, cower";"v"
684;"extemperaneous";"ek-stem-per-ayn-e-us";"composed, performed, or uttered on the spur of the moment, impromptu";"adj"
685;"quasi-";"kwa-zee";"resembling, seeming, virtual";"pfx"
686;"querulous";"kwhere-you-luss";"habitually complaining; fretful, whining";"adj"
687;"quiddity";"kwih-dih-tee";"whatever makes something the type that it is, essence; an unusual personal opinion or habit; a trifling point";"n"
688;"quincunx";"kwin-kunx";"5 objects arranged in a square with one in the middle";"n"
689;"extenuate";"ik-sten-yoo-ate";"to lessen or to try to lessen the seriousness or extent of by making partial excuses, mitigate; to lessen the strength or effect of";"v"
690;"quintessence";"kwin-teh-sints";"the essence of a thing in its purest and most concentrated form; the most typical example or representative";"n"
691;"quip";"kwip";"a clever usually taunting remark; a witty or funny observation or response usually made on the spur of the moment";"n"
692;"quirt";"kwirt";"a riding whip with a short handle and a rawhide lash";"n"
693;"quixotic";"kwik-sah-tik";"foolishly impractical especially in the pursuit of ideals; marked by rash lofty romantic ideas or extravagantly chivalrous action; capricious, unpredictable";"adj"
694;"extol";"iks-toll";"to praise highly, glorify";"v"
695;"quotidian";"kwo-tih-dee-in";"occurring every day; everyday, commonplace, ordinary";"adj"
696;"R&R";"r-and-r";"rest and recreation; rest and recuperation; rest and relaxation";"brev"
697;"rabble";"rab-ul";"a disorganized or confused collection of things; a disorganized or disorderly crowd of people, mob; the lowest class of people";"n"
698;"rachitic";"ruh-kid-ik";"affected by rickets (soft and deformed bones); lacking stability or firmness; in unsound physical condition";"adj"
699;"radiogenic";"radio-jen-ik";"produced by or determined from radioactivity";"adj"
700;"rail";"rail";"to revile or scold in harsh, insolent, or abusive language";"v"
701;"raillery";"rail-uh-ree";"good-natured ridicule, banter; an instance of joking or ridicule, jest";"n"
702;"rake";"rake";"a dissolute person";"n"
703;"rancor";"ran-ker";"bitter deep-seated ill will";"n"
704;"extravasate";"ik-strav-uh-sate";"to force out or cause to escape from a proper vessel or channel";"v"
705;"rapporteur";"rah-por-teur";"a reporter; a person who gives reports";"n"
706;"rank";"rank";"offensive in odor or flavor; luxuriantly or excessively vigorous in growth; high in amount or degree; shockingly conspicuous";"adj"
707;"ratiocination";"rah-tee-oh-sin-ay-shin";"the process of exact thinking, reasoning; a reasoned train of thought";"n"
708;"raw deal";"raw-deel";"an instance of unfair treatment";"n"
709;"razzmatazz";"raz-muh-taz";"a confusing or colorful often gaudy action or display; inflated, involved, and often deliberately ambiguous language";"n"
710;"rebuff";"rih-buff";"to reject or criticize sharply, snub";"v"
711;"rebuke";"rih-byook";"to criticize sharply, reprimand; to turn back or keep down, check";"v"
712;"rebus";"ree-bus";"a representation of syllables or words by means of pictures or symbols";"n"
713;"recalcitrant";"re-kal-suh-trunt";"obstinately defiant of authority or restraint; difficult to manage or operate; not responsive to treatment, resistant";"adj"
714;"recant";"rih-kant";"to withdraw or repudiate a statement or belief formally and publicly, renounce; revoke";"v"
715;"recapitulate";"re-kuh-pih-chu-late";"to restate briefly, summarize; to give new form or expression to; to repeat the principal stages or phases of";"v"
716;"recluse";"reh-kloos";"marked by withdrawal from society, solitary";"adj"
717;"facetious";"fuh-see-shus";"joking or jesting often inappropriately; meant to be humorous or funny; not serious";"adj"
718;"recondite";"reh-kun-dite";"difficult or impossible for one of ordinary understanding or knowledge to comprehend";"adj"
719;"reconstitute";"re-kon-stih-toot";"to constitute again or anew; to restore to a former condition by adding water";"v"
720;"rectitude";"rek-tih-tood";"the quality or state of being straight; moral integrity, righteousness; the quality or state of being correct in judgement or procedure";"n"
721;"rector";"rek-ter";"one that directs, leader; a member of the clergy in charge of a parish; the head of a university or school";"n"
722;"fad";"fad";"a practice or interest followed for a time with exaggerated zeal, craze";"n"
723;"recumbent";"rih-kum-bint";"leaning, resting, lying down; representing a person lying down";"adj"
724;"recuse";"rih-kyooz";"to disqualify (oneself) as judge in a particular case; to remove (oneself) from participation to avoid a conflict of interest";"v"
725;"redolent";"red-uh-lent";"exuding fragrance, aromatic; full of a specified fragrance, scented; evocative, suggestive";"adj"
726;"redress";"rih-dress";"to set right, remedy; to make up fr, compensate; to remove the cause of a grievance or complaint; to exact reparation for; avenge";"v"
727;"redoubt";"rih-dout";"a small usually temporary enclosed defensive work; a secure retreat, stronghold";"n"
728;"refection";"rih-fek-shin";"refreshment of mind, spirit, or body esp. nourishment; the taking of refreshment; food and drink together, repast";"n"
729;"refectory";"rih-fek-tuh-ree";"a dining hall";"n"
730;"regale";"rih-gale";"to entertain sumptuously; feast with delicacies; to give pleasure or amusement to";"v"
731;"regolith";"reg-uh-lith";"unconsolidated residual or transported material that overlies the solid rock on the earth, moon, or a planet";"n"
732;"fait accompli";"fate-uh-kom-plee";"a thing accomplished and presumably irreversible";"n"
733;"reify";"ray-ih-fie";"to consider or represent (something abstract) as a material or concrete thing; to give definite content and form to (a concept or idea)";"v"
734;"rejoinder";"rih-join-dur";"the defendant's answer to the plaintiff's replication; reply";"n"
735;"relief";"rih-leef";"a mode of sculpture in which forms and figures are distinguished from a surrounding plane surface";"n"
736;"relinquish";"rih-lin-kwish";"to withdraw or retreat from, leave behind; to give up";"v"
737;"relume";"ree-loom";"to light or light up again, rekindle";"v"
738;"fallow";"fah-low";"dormant, inactive; left untilled or unsown after plowing; of a light yellowish-brown color";"adj"
739;"reminisce";"reh-mih-niss";"indulge in enjoyable recollection of past events";"v"
740;"remit";"rih-mit";"to restore or consign to a former status or condition; to release from the guilt or penalty of";"v"
741;"remonstrate";"reh-mun-strate";"to present and urge reasons in opposition; to say or plead in protest, reproof, or opposition";"v"
742;"remuneration";"rih-myoo-neray-shin";"the act or fact of paying an equivalent to for a service, loss, or expense; recompense, pay";"n"
743;"renege";"rih-neg";"deny, renounce; to go back on a promise or commitment, revoke";"v"
744;"repartee";"rep-er-tee";"a quick and witty reply; a succession or interchange of clever retorts; amusing and usually light sparring with words; adroitness and cleverness in reply";"n"
745;"famish";"fam-ish";"to cause to suffer severely from hunger; to suffer for lack of something necessary";"v"
746;"repast";"rih-past";"something taken as food, meal; the act or time of taking food";"n"
747;"repertoire";"reh-pur-twar";"a supply of skills, devices, or expedients; a list or supply of capabilities; the complete list or supply of skills, devices, or ingredients used in a particular field, occupation, or practice";"n"
748;"repose";"rih-pose";"to lay at rest; to take a rest; to remain still or concealed; to rest for support, lie";"v"
749;"fanfare";"fan-fare";"a short and lively sounding of trumpets; a showy outward display";"n"
750;"reprehend";"reh-prih-hend";"to voice disapproval of, censure";"v"
751;"replete";"rih-pleet";"fully or abundantly provided or filled; abundantly fed; fat, stout; complete";"adj"
752;"reprehensible";"reh-prih-hen-sih-bul";"worthy of or deserving reprehension, blame, or censure; culpable";"adj"
753;"reprieve";"rih-preev";"a temporary respite; an order or warrant for a temporary suspension of the execution of a sentence";"n"
754;"reprise";"rih-preez";"a recurrence, renewal, or resumption of an action; a repeated performance; a deduction or charge made yearly out of a manor or estate";"n"
755;"reproach";"rih-proach";"an expression of rebuke or disapproval; to express disappointment in or displeasure with for conduct that is blameworthy or in need of amendment";"n"
756;"reprobate";"reh-pruh-bait";"to condemn strongly as unworthy, unacceptable, or evil; to refuse to accept, reject; to foreordain to damnation";"v"
757;"reproof";"rih-proof";"criticism for a fault, rebuke";"n"
758;"repudiate";"rih-pyoo-dee-ate";"to refuse to have anything to do with; to refuse to accept; to reject as untrue or unjust";"v"
759;"requite";"rih-kwite";"to make return for, repay; to make retaliation for, avenge; to make suitable return to for a benefit or service or for an injury";"v"
760;"fangle";"fan-gul";"a fashion especially when foppish or silly, used with new and usually derogatorily; a silly or fantastic contrivance";"n"
761;"resplendent";"rih-splen-dint";"shining brilliantly; characterized by a glowing splendor";"adj"
762;"reticent";"reh-tih-sint";"inclined to be silent or uncommunicative in speech, reserved; restrained in expression, presentation, or appearance; reluctant";"adj"
763;"retrodict";"reh-truh-dikt";"to utilize present information or ideas to infer or explain a past event or state of affairs";"v"
764;"retrofit";"reh-tro-fit";"to furnish with new or modified parts or equipment not available or considered necessary at the time of manufacture; to adapt to a new purpose or need, modify";"v"
765;"retrograde";"reh-tro-grade";"moving, occurring, or performed in a backward direction; tending toward or resulting in a worse or previous state; occurring or performed in a direction opposite to the normal or forward direction of conduction or flow";"adj"
766;"retsina";"ret-seen-uh";"a resin-flavored Greek wine";"n"
767;"reverberate";"reh-ver-bur-ate";"reflect, repel, echo; to continue in or as if in a series of echoes, resound";"v"
768;"revue";"rih-vyoo";"a theatrical production consisting typically of brief loosely connected often satirical skits, songs, and dances";"n"
769;"rheum";"room";"a watery discharge from the mucous membranes especially of the eyes or nose";"n"
770;"rigmarole";"rig-uh-muh-roll";"confused or meaningless talk; a complex and sometimes ritualistic procedure";"n"
771;"riposte";"rih-poast";"a fencer's quick return thrust following a parry; a retaliatory verbal sally, retort; a retaliatory maneuver or measure";"n"
772;"rictus";"rik-tus";"the mouth orifice; a gaping grin or grimace";"n"
773;"farce";"farse";"a light dramatic composition marked by broadly satirical comedy and improbable plot; the broad humor characteristic of farce; an empty or patently ridiculous act, proceeding, or situation; a savory stuffing, forcemeat";"n"
774;"risorgimento";"ree-zor-jih-men-tow";"a time of renewal or renaissance, revival;the 19th century movement for Italian political unity";"n"
775;"ritzy";"rit-zee";"being, characteristic of, or befitting a snob, snobbish; impressively or ostentatiously fancy or stylish, fashionable, posh";"adj"
776;"rodomontade";"rah-duh-mun-TAYD";"a bragging speech; vain boasting or bluster, rant";"n"
777;"roil";"roil";"to move turbulently; be in a state of turbulence or agitation; to stir up, disturb";"v"
778;"roseate";"row-zee-it";"resembling a rose especially in color; overly optimistic, viewed favorably";"adj"
779;"farceur";"far-ser";"joker, wag; a writer or actor of farce or satire";"n"
780;"rote";"wrote";"the use of memory usually with little intelligence; mechanical or unthinking routine or repetition";"n"
781;"rotunda";"ro-tun-duh";"a round building esp. when covered by a dome; a large round room; a large central area";"n"
782;"roué";"roo-ay";"a man devoted to a life of sensual pleasure";"n"
783;"farcical";"far-sih-kul";"laughably inept, absurd; of, relating to, or resembling farce, ludicrous";"adj"
784;"ruck";"ruk";"the usual run of persons or things, generality; the persons or things following the vanguard";"n"
785;"ruddy";"ruh-dee";"having a healthy reddish color; red, reddish;";"adj"
786;"rudiment";"roo-dih-mint";"a basic principle or element or a fundamental skill; something unformed or undeveloped";"n"
787;"ruminant";"roo-mih-nint";"given to or engaged in contemplation, meditative; chewing the cud; characterized by chewing again what has been swallowed";"adj"
788;"saccharine";"sack-uh-rin";"excessively sweet or sentimental";"adj"
789;"sacerdotal";"sah-sir-doh-tul";"of or relating to priests or a priesthood, priestly; of, relating to, or suggesting religious belief emphasizing the powers of priests as essential mediators between God and humankind";"adj"
790;"farouche";"fuh-roosh";"unruly or disorderly, wild; marked by shyness and lack of social graces";"adj"
791;"sacrosanct";"sah-kro-sankt";"most sacred or holy, inviolable; treated as if holy; immune from criticism or violation";"adj"
792;"salacious";"suh-lay-shus";"arousing or appealing to sexual desire or imagination; lecherous, lustful";"adj"
793;"salient";"sail-yint";"moving by leaps or springs, jumping; jetting upward; standing out conspicuously, prominent esp. of notable significance";"adj"
794;"sally";"sah-lee";"an action of rushing or bursting forth esp. a sortie of troops from a defensive position to attack the enemy; a brief outbreak, outburst; a witty or imaginative saying, quip; a venture or excursion usually off the beaten track";"n"
795;"salubrious";"suh-loo-bree-is";"favorable to or promoting health or well-being";"adj"
796;"fastidious";"fah-stid-e-us";"showing or demanding excessive delicacy or care; reflecting a meticulous, sensitive, or demanding attitude; having high and often capricious standards, difficult to please";"adj"
797;"salvo";"sal-vo";"a simultaneous discharge of two or more guns in military action or as a salute";"n"
798;"sanctimonious";"sank-tih-mo-nee-is";"hypocritically pious or devout";"adj"
799;"sanguinary";"san-gwin-air-ee";"bloodthirsty, murderous; attended by bloodshed, bloody; consisting of blood";"adj"
800;"sanguine";"san-gwyn";"confident, optimistic; consisting of or relating to blood; bloodred; bloodthirsty, sanguinary";"adj"
801;"sartorial";"sar-tor-ee-ul";"of or relating to a tailor or tailored clothers; of or relating to clothes";"adj"
802;"sardonic";"sar-don-ik";"disdainfully or skeptically humorous; derisively mocking";"adj"
803;"satiety";"suh-tie-ih-tee";"the quality or state of being fed or gratified to or beyond capacity; the revulsion or disgust caused by overindulgence or excess";"n"
804;"saturnine";"sah-tur-nine";"cold and steady in mood; slow to act or change; of a gloomy or surly disposition; having a sardonic aspect";"adj"
805;"fatigues";"fuh-teegs";"the uniform or work clothing worn on fatigue and in the field";"n"
806;"savant";"sah-vaunt";"a person of learning; one with detailed knowledge in some specialized field";"n"
807;"scabrous";"scah-brus";"difficult, knotty; rough to the touch; covered with raised, roughened, or unwholesome patches; dealing with suggestive, indecent, or scandalous themes";"adj"
808;"scapegrace";"scape-grace";"an incorrigible rascal";"n"
809;"scaramouch";"scare-uh-moosh";"a cowardly buffoon; rascal, scamp";"n"
810;"scarify";"scare-ih-fy";"to make scratches or small cuts in; to lacerate the feelings of; to break up, loosen, or roughen the surface of; to cut or soften the wall of a seed to hasten germination";"v"
811;"schadenfreude";"shaw-din-froy-duh";"enjoyment obtained from the troubles of others";"n"
812;"faux pas";"pho-pah";"a significant or embarrassing error or mistake, blunder; a socially awkward or improper act or remark";"n"
813;"schmooze";"shmooz";"to chat in a friendly and persuasive manner especially so as to gain favor, business, or connections; to engage in informal conversation with";"v"
814;"sciential";"sigh-ent-shul";"relating to or producing knowledge or science; having efficient knowledge, capable";"adj"
815;"scilicet";"skee-lih-ket";"that is to say, to wit, namely";"adv"
816;"scintillate";"sin-tih-late";"to emit sparks, spark; to emit quick flashes as if throwing off sparks, sparkle";"v"
817;"sciolism";"sigh-uh-lism";"a superficial show of learning";"n"
818;"scion";"sigh-un";"descendant, child, heir; a detached living portion of a plant (such as a bud or shoot) joined to a stock in grafting and usually supplying solely aerial parts to a graft";"n"
